date,level4_area_km2,level4_elevation_m,level4_storage_mcm
2022-06-04,98.00000000000001,904.8,434.45
2022-06-05,98.00000000000001,904.8,434.45
2022-06-06,98.00000000000001,904.8,434.45
2022-06-07,98.00000000000001,904.8,434.45
2022-06-08,98.00000000000001,904.8,434.45
2022-06-09,98.00000000000001,904.8,434.45
2022-06-10,98.00000000000001,904.8,434.45
2022-06-11,98.00000000000001,904.8,434.45
2022-06-12,98.00000000000001,904.8,434.45
2022-06-13,98.00000000000001,904.8,434.45
2022-06-14,98.00000000000001,904.8,434.45
2022-06-15,98.00000000000001,904.8,434.45
2022-06-16,98.00000000000001,904.8,434.45
2022-06-17,98.00000000000001,904.8,434.45
2022-06-18,98.00000000000001,904.8,434.45
2022-06-19,98.00000000000001,904.8,434.45
2022-06-20,98.00000000000001,904.8,434.45
2022-06-21,98.00000000000001,904.8,434.45
2022-06-22,98.00000000000001,904.8,434.45
2022-06-23,98.00000000000001,904.8,434.45
2022-06-24,98.00000000000001,904.8,434.45
2022-06-25,98.00000000000001,904.8,434.45
2022-06-26,98.00000000000001,904.8,434.45
2022-06-27,98.00000000000001,904.8,434.45
2022-06-28,98.00000000000001,904.8,434.45
2022-06-29,98.00000000000001,904.8,434.45
2022-06-30,98.00000000000001,904.8,434.45
2022-07-01,98.00000000000001,904.8,434.45
2022-07-02,98.00000000000001,904.8,434.45
2022-07-03,98.00000000000001,904.8,434.45
2022-07-04,98.00000000000001,904.8,434.45
2022-07-05,98.00000000000001,904.8,434.45
2022-07-06,98.00000000000001,904.8,434.45
2022-07-07,98.00000000000001,904.8,434.45
2022-07-08,98.00000000000001,904.8,434.45
2022-07-09,98.00000000000001,904.8,434.45
2022-07-10,98.00000000000001,904.8,434.45
2022-07-11,98.00000000000001,904.8,434.45
2022-07-12,98.00000000000001,904.8,434.45
2022-07-13,98.00000000000001,904.8,434.45
2022-07-14,98.00000000000001,904.8,434.45
2022-07-15,98.00000000000001,904.8,434.45
2022-07-16,98.00000000000001,904.8,434.45
2022-07-17,98.00000000000001,904.8,434.45
2022-07-18,98.00000000000001,904.8,434.45
2022-07-19,98.00000000000001,904.8,434.45
2022-07-20,98.00000000000001,904.8,434.45
2022-07-21,98.00000000000001,904.8,434.45
2022-07-22,98.00000000000001,904.8,434.45
2022-07-23,98.00000000000001,904.8,434.45
2022-07-24,98.00000000000001,904.8,434.45
2022-07-25,98.00000000000001,904.8,434.45
2022-07-26,98.00000000000001,904.8,434.45
2022-07-27,98.00000000000001,904.8,434.45
2022-07-28,98.00000000000001,904.8,434.45
2022-07-29,98.00000000000001,904.8,434.45
2022-07-30,98.00000000000001,904.8,434.45
2022-07-31,98.00000000000001,904.8,434.45
2022-08-01,98.00000000000001,904.8,434.45
2022-08-02,98.00000000000001,904.8,434.45
2022-08-03,98.00000000000001,904.8,434.45
2022-08-04,98.00000000000001,904.8,434.45
2022-08-05,98.00000000000001,904.8,434.45
2022-08-06,98.00000000000001,904.8,434.45
2022-08-07,98.00000000000001,904.8,434.45
2022-08-08,98.00000000000001,904.8,434.45
2022-08-09,98.00000000000001,904.8,434.45
2022-08-10,98.00000000000001,904.8,434.45
2022-08-11,98.00000000000001,904.8,434.45
2022-08-12,98.00000000000001,904.8,434.45
2022-08-13,98.00000000000001,904.8,434.45
2022-08-14,98.00000000000001,904.8,434.45
2022-08-15,98.00000000000001,904.8,434.45
2022-08-16,98.00000000000001,904.8,434.45
2022-08-17,98.00000000000001,904.8,434.45
2022-08-18,98.00000000000001,904.8,434.45
2022-08-19,98.00000000000001,904.8,434.45
2022-08-20,98.00000000000001,904.8,434.45
2022-08-21,98.00000000000001,904.8,434.45
2022-08-22,98.00000000000001,904.8,434.45
2022-08-23,98.00000000000001,904.8,434.45
2022-08-24,98.00000000000001,904.8,434.45
2022-08-25,98.00000000000001,904.8,434.45
2022-08-26,98.00000000000001,904.8,434.45
2022-08-27,98.00000000000001,904.8,434.45
2022-08-28,98.00000000000001,904.8,434.45
2022-08-29,98.00000000000001,904.8,434.45
2022-08-30,98.00000000000001,904.8,434.45
2022-08-31,98.00000000000001,904.8,434.45
2022-09-01,98.00000000000001,904.8,434.45
2022-09-02,98.00000000000001,904.8,434.45
2022-09-03,98.00000000000001,904.8,434.45
2022-09-04,98.00000000000001,904.8,434.45
2022-09-05,98.00000000000001,904.8,434.45
2022-09-06,98.00000000000001,904.8,434.45
2022-09-07,98.00000000000001,904.8,434.45
2022-09-08,98.00000000000001,904.8,434.45
2022-09-09,98.00000000000001,904.8,434.45
2022-09-10,98.00000000000001,904.8,434.45
2022-09-11,98.00000000000001,904.8,434.45
2022-09-12,98.00000000000001,904.8,434.45
2022-09-13,98.00000000000001,904.8,434.45
2022-09-14,98.00000000000001,904.8,434.45
2022-09-15,98.00000000000001,904.8,434.45
2022-09-16,98.00000000000001,904.8,434.45
2022-09-17,98.00000000000001,904.8,434.45
2022-09-18,98.00000000000001,904.8,434.45
2022-09-19,98.00000000000001,904.8,434.45
2022-09-20,98.00000000000001,904.8,434.45
2022-09-21,98.00000000000001,904.8,434.45
2022-09-22,98.00000000000001,904.8,434.45
2022-09-23,98.00000000000001,904.8,434.45
2022-09-24,98.00000000000001,904.8,434.45
2022-09-25,98.00000000000001,904.8,434.45
2022-09-26,98.00000000000001,904.8,434.45
2022-09-27,98.00000000000001,904.8,434.45
2022-09-28,98.00000000000001,904.8,434.45
2022-09-29,98.00000000000001,904.8,434.45
2022-09-30,98.00000000000001,904.8,434.45
2022-10-01,98.00000000000001,904.8,434.45
2022-10-02,98.00000000000001,904.8,434.45
2022-10-03,98.00000000000001,904.8,434.45
2022-10-04,98.00000000000001,904.8,434.45
2022-10-05,98.00000000000001,904.8,434.45
2022-10-06,98.00000000000001,904.8,434.45
2022-10-07,98.00000000000001,904.8,434.45
2022-10-08,98.00000000000001,904.8,434.45
2022-10-09,98.00000000000001,904.8,434.45
2022-10-10,98.00000000000001,904.8,434.45
2022-10-11,98.00000000000001,904.8,434.45
2022-10-12,98.00000000000001,904.8,434.45
2022-10-13,98.00000000000001,904.8,434.45
2022-10-14,98.00000000000001,904.8,434.45
2022-10-15,98.00000000000001,904.8,434.45
2022-10-16,98.00000000000001,904.8,434.45
2022-10-17,98.00000000000001,904.8,434.45
2022-10-18,98.00000000000001,904.8,434.45
2022-10-19,98.00000000000001,904.8,434.45
2022-10-20,98.00000000000001,904.8,434.45
2022-10-21,98.00000000000001,904.8,434.45
2022-10-22,98.00000000000001,904.8,434.45
2022-10-23,98.00000000000001,904.8,434.45
2022-10-24,98.00000000000001,904.8,434.45
2022-10-25,98.00000000000001,904.8,434.45
2022-10-26,98.00000000000001,904.8,434.45
2022-10-27,98.00000000000001,904.8,434.45
2022-10-28,98.00000000000001,904.8,434.45
2022-10-29,98.00000000000001,904.8,434.45
2022-10-30,98.00000000000001,904.8,434.45
2022-10-31,98.00000000000001,904.8,434.45
2022-11-01,98.00000000000001,904.8,434.45
2022-11-02,98.00000000000001,904.8,434.45
2022-11-03,98.00000000000001,904.8,434.45
2022-11-04,98.00000000000001,904.8,434.45
2022-11-05,98.00000000000001,904.8,434.45
2022-11-06,98.00000000000001,904.8,434.45
2022-11-07,98.00000000000001,904.8,434.45
2022-11-08,98.00000000000001,904.8,434.45
2022-11-09,98.00000000000001,904.8,434.45
2022-11-10,98.00000000000001,904.8,434.45
2022-11-11,98.00000000000001,904.8,434.45
2022-11-12,98.00000000000001,904.8,434.45
2022-11-13,98.00000000000001,904.8,434.45
2022-11-14,98.00000000000001,904.8,434.45
2022-11-15,98.00000000000001,904.8,434.45
2022-11-16,98.00000000000001,904.8,434.45
2022-11-17,98.00000000000001,904.8,434.45
2022-11-18,98.00000000000001,904.8,434.45
2022-11-19,98.00000000000001,904.8,434.45
2022-11-20,98.00000000000001,904.8,434.45
2022-11-21,98.00000000000001,904.8,434.45
2022-11-22,98.00000000000001,904.8,434.45
2022-11-23,98.00000000000001,904.8,434.45
2022-11-24,98.00000000000001,904.8,434.45
2022-11-25,98.00000000000001,904.8,434.45
2022-11-26,98.00000000000001,904.8,434.45
2022-11-27,98.00000000000001,904.8,434.45
2022-11-28,98.00000000000001,904.8,434.45
2022-11-29,98.00000000000001,904.8,434.45
2022-11-30,98.00000000000001,904.8,434.45
2022-12-01,98.00000000000001,904.8,434.45
2022-12-02,98.00000000000001,904.8,434.45
2022-12-03,98.00000000000001,904.8,434.45
2022-12-04,98.00000000000001,904.8,434.45
2022-12-05,98.00000000000001,904.8,434.45
2022-12-06,98.00000000000001,904.8,434.45
2022-12-07,98.00000000000001,904.8,434.45
2022-12-08,98.00000000000001,904.8,434.45
2022-12-09,98.00000000000001,904.8,434.45
2022-12-10,98.00000000000001,904.8,434.45
2022-12-11,98.00000000000001,904.8,434.45
2022-12-12,98.00000000000001,904.8,434.45
2022-12-13,98.00000000000001,904.8,434.45
2022-12-14,98.00000000000001,904.8,434.45
2022-12-15,98.00000000000001,904.8,434.45
2022-12-16,98.00000000000001,904.8,434.45
2022-12-17,98.00000000000001,904.8,434.45
2022-12-18,98.00000000000001,904.8,434.45
2022-12-19,98.00000000000001,904.8,434.45
2022-12-20,98.00000000000001,904.8,434.45
2022-12-21,98.00000000000001,904.8,434.45
2022-12-22,98.00000000000001,904.8,434.45
2022-12-23,98.00000000000001,904.8,434.45
2022-12-24,98.00000000000001,904.8,434.45
2022-12-25,98.00000000000001,904.8,434.45
2022-12-26,98.00000000000001,904.8,434.45
2022-12-27,98.00000000000001,904.8,434.45
2022-12-28,98.00000000000001,904.8,434.45
2022-12-29,98.00000000000001,904.8,434.45
2022-12-30,98.00000000000001,904.8,434.45
2022-12-31,98.00000000000001,904.8,434.45
